x, y
889.6797153024911, 100
1245.5516014234877, 50.5763365489706
1895.017793594306, 22.832456114557427
2500, 13.23459105633483
3140.569395017794, 8.79182322735208
3772.2419928825625, 6.112012172921716
4359.430604982206, 4.76026991861126
4991.103202846975, 3.4631689912697508
5604.982206405694, 2.7592399772718657
6263.345195729537, 2.2489183299748925
6859.430604982206, 1.8751081255729287
7508.896797153026, 1.5993641920196724
8140.569395017794, 1.333521432163324
8754.448398576513, 1.137420503279591
9395.017793594307, 1.015263907552051
10008.896797153026, 0.8659643233600653